id,mvic_dpi_1,mvic_dpi_2,mvic_dpi_3,mvic_dpp_1,mvic_dpp_2,mvic_dpp_3,mvic_inf_1,mvic_inf_2,mvic_inf_3,ejadd_1_dpi,ejadd_1_dpp,ejadd_1_inf,ejadd_2_dpi,ejadd_2_dpp,ejadd_2_inf,ejadd_3_dpi,ejadd_3_dpp,ejadd_3_inf,add_1_dpi,add_1_dpp,add_1_inf,add_2_dpi,add_2_dpp,add_2_inf,add_3_dpi,add_3_dpp,add_3_inf,max_mvic_dpi,max_mvic_dpp,max_mvic_inf,percent_mvic_ejadd_dpi,percent_mvic_ejadd_dpp,percent_mvic_ejadd_inf,percent_mvic_add_dpi,percent_mvic_add_dpp,percent_mvic_add_inf
1,1270,1134,1031,1419,1452,1406,575,631,506,120,223,231,153,237,207,159,228,224,48,199,280,42,216,186,39,216,214,1270,1452,631,0.11338582677165354,0.15794306703397612,0.3497094558901215,0.03385826771653543,0.14485766758494031,0.35921817221341784
2,1721,1732,1693,637,670,627,727,508,640,102,168,223,159,199,252,97,156,211,44,104,359,53,141,374,45,123,383,1732,670,727,0.0688991531947652,0.2601990049751244,0.3145346171480972,0.027328714395688992,0.18308457711442785,0.5116918844566712
3,792,859,865,1520,1450,1379,697,741,643,116,217,382,103,227,523,101,180,361,63,275,306,88,344,458,73,253,496,865,1520,741,0.12331406551059731,0.1368421052631579,0.5695006747638327,0.08631984585741811,0.1912280701754386,0.5668016194331984
4,752,729,790,731,700,773,301,280,288,358,456,97,327,368,120,367,430,129,132,453,111,128,331,75,136,350,100,790,773,301,0.4438818565400844,0.5407503234152652,0.3831672203765227,0.1670886075949367,0.4890038809831824,0.3167220376522702
5,2505,2571,2326,1397,1477,1625,431,474,394,534,441,275,997,530,298,1372,781,300,94,350,314,133,432,337,130,446,390,2571,1625,474,0.37637754440554905,0.35938461538461536,0.6139240506329114,0.046285492026448855,0.2518974358974359,0.7320675105485233
6,1336,1227,1156,1165,941,867,399,429,359,522,602,279,432,513,226,461,529,208,310,684,398,327,724,323,301,683,302,1336,1165,429,0.35304391217564873,0.4703862660944206,0.5540015540015539,0.23403193612774453,0.5982832618025751,0.7948717948717948
7,809,655,637,563,753,681,398,384,397,222,332,221,184,350,181,159,256,210,56,204,231,41,165,252,45,181,274,809,753,398,0.23279769262463948,0.41522797698096503,0.5125628140703518,0.05850844664194479,0.24347056219566182,0.6340033500837521
8,1381,1221,1184,909,882,982,492,508,465,356,555,351,313,457,342,327,461,334,139,440,445,155,537,434,173,438,389,1381,982,508,0.24040550325850832,0.5,0.6738845144356955,0.1127202510258267,0.4803122878479294,0.8320209973753281
9,1114,1135,1047,552,527,601,522,476,500,442,489,393,404,500,406,356,386,337,135,287,440,134,385,567,190,456,527,1135,601,522,0.3530102790014684,0.7626178591236827,0.7254150702426565,0.13480176211453745,0.6256239600665557,0.979565772669221
10,1200,1184,1290,1270,1101,982,457,580,593,221,358,287,328,488,198,317,420,337,76,495,385,69,454,294,116,589,426,1290,1270,593,0.22377260981912145,0.33228346456692914,0.4620573355817875,0.06744186046511629,0.40367454068241465,0.6211354693648117
11,739,748,748,490,511,571,327,298,363,84,182,157,97,172,178,90,118,127,23,55,104,25,66,113,24,59,116,748,571,363,0.12076648841354723,0.27553998832457677,0.42424242424242425,0.03208556149732621,0.10507880910683012,0.30578512396694213
12,500,455,483,535,545,485,251,230,253,113,310,220,141,329,217,162,350,195,47,363,313,91,460,347,55,370,292,500,545,253,0.2773333333333333,0.6048929663608563,0.8326745718050066,0.12866666666666665,0.7296636085626912,1.2542819499341238
13,1310,1502,1267,683,648,753,403,457,433,280,296,208,270,264,193,492,489,241,149,409,180,248,620,194,169,442,158,1502,753,457,0.23124722592099423,0.46436476316954406,0.4682713347921225,0.12561029738126941,0.6511730854360336,0.388037928519329
14,1034,864,811,870,881,905,443,441,520,102,236,236,107,239,322,97,263,266,39,291,129,45,307,165,40,271,147,1034,905,520,0.09864603481624758,0.2718232044198895,0.5282051282051282,0.039974210186976146,0.32007366482504607,0.2826923076923077
15,992,1052,962,602,542,537,260,289,248,155,198,166,165,204,186,168,205,176,56,84,165,54,88,153,65,132,175,1052,602,289,0.15462610899873255,0.33610188261351054,0.6089965397923875,0.05544993662864386,0.16832779623477298,0.5686274509803921
16,1793,1555,1523,1043,1205,1219,448,355,288,58,282,175,108,316,236,159,356,246,84,370,227,76,335,199,80,353,186,1793,1219,448,0.06042015244469232,0.2608695652173913,0.4888392857142857,0.044617958728388175,0.2893081761006289,0.45535714285714285
17,1063,962,871,403,748,683,332,418,338,181,370,214,121,249,251,145,272,215,61,314,159,68,277,191,42,183,134,1063,748,418,0.14016933207902163,0.39705882352941174,0.5422647527910686,0.053621825023518345,0.3449197860962567,0.3859649122807018
